epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1859.31,2.38765,4.3576,1.8411,0.24988,0.04609,0.02346,0.00668,3.62743,6.87736,1.62561,0.000661333,0.000661333,0.000661333
2,3867.29,2.40944,3.29498,1.85881,0.20649,0.09497,0.04353,0.0112,3.69804,4.82278,1.59384,0.00119653,0.00119653,0.00119653
3,6004.48,2.41565,2.7964,1.86439,0.33553,0.09078,0.07343,0.02505,3.27619,3.45947,1.44311,0.00159972,0.00159972,0.00159972
4,7429.64,2.35482,2.59765,1.83103,0.38356,0.1243,0.11224,0.04417,3.06565,2.54204,1.40598,0.001406,0.001406,0.001406
5,8875.57,2.28848,2.40762,1.78164,0.40078,0.1257,0.1116,0.03637,3.538,2.66759,1.49912,0.001208,0.001208,0.001208
6,10984,2.20276,2.24973,1.72277,0.30782,0.09916,0.07773,0.02966,2.81925,2.96511,1.29547,0.00101,0.00101,0.00101
7,12860.6,2.13184,2.16136,1.65068,0.29713,0.16201,0.13168,0.04788,2.77856,2.49777,1.29594,0.000812,0.000812,0.000812
8,14529.1,2.10466,2.08664,1.6525,0.24661,0.13408,0.08741,0.0285,2.9916,2.5329,1.34438,0.000614,0.000614,0.000614
9,15739,2.06329,1.99609,1.61301,0.28076,0.15919,0.10302,0.03506,3.0416,2.52895,1.38539,0.000416,0.000416,0.000416
10,17799,1.96745,1.8768,1.55913,0.322,0.17737,0.1365,0.04794,2.86478,2.22832,1.33182,0.000218,0.000218,0.000218
